iter	Logloss
0	0.6896210353
1	0.6862874349
2	0.6827191671
3	0.679360199
4	0.6761339188
5	0.6729167938
6	0.670173645
7	0.6670439402
8	0.6641048431
9	0.6609715144
10	0.658670934
11	0.6557442983
12	0.6529872894
13	0.6507052104
14	0.6479695638
15	0.645367686
16	0.6424207052
17	0.6399929047
18	0.6376520793
19	0.6354236603
20	0.633912913
21	0.6312180201
22	0.6291043599
23	0.6263614019
24	0.6239196142
25	0.6217175802
26	0.619363149
27	0.6173138301
28	0.6152742386
29	0.6131623586
30	0.6114337921
31	0.6096485138
32	0.6075434367
33	0.6061588923
34	0.6046967824
35	0.6030068715
36	0.6009915034
37	0.5992777507
38	0.5980012258
39	0.5965714773
40	0.5947841009
41	0.5932061513
42	0.5913516998
43	0.5899303436
44	0.5888665517
45	0.5878517151
46	0.5858259837
47	0.5841149012
48	0.5826096853
49	0.5809822083
50	0.5793668111
51	0.5776297251
52	0.5763134638
53	0.57550354
54	0.5741293589
55	0.5731630961
56	0.5717196147
57	0.5705991745
58	0.5695167542
59	0.5681187312
60	0.5669148763
61	0.5658298492
62	0.5643685659
63	0.5632677714
64	0.562028567
65	0.5607261022
66	0.5596921285
67	0.5586821238
68	0.5575714111
69	0.5567522685
70	0.5553776423
71	0.5543501536
72	0.5535556793
73	0.5523603439
74	0.551399676
75	0.5505252202
76	0.5496056239
77	0.5487269084
78	0.5480866114
79	0.5473323822
80	0.546392568
81	0.5453038534
82	0.5442487081
83	0.543329366
84	0.5426488876
85	0.5417703629
86	0.541334788
87	0.5403413773
88	0.5394063314
89	0.5384379069
90	0.5376145045
91	0.5367558797
92	0.5356115977
93	0.5348185857
94	0.5342169444
95	0.5331993739
96	0.5323777517
97	0.5312409719
98	0.5304954211
99	0.529804643
100	0.5288034757
101	0.5281671206
102	0.5272565206
103	0.5264188131
104	0.5257754644
105	0.525236543
106	0.524509112
107	0.5236390432
108	0.522822539
109	0.5224649429
110	0.5216143608
111	0.5210788091
112	0.5204780579
113	0.5199757576
114	0.5193247477
115	0.518730545
116	0.5178002675
117	0.517118899
118	0.5165033976
119	0.5158067067
120	0.5152184168
121	0.5148442586
122	0.5142781576
123	0.5138121287
124	0.5134394964
