iter	Passed	Remaining
0	3	3463
1	6	3065
2	8	2804
3	11	2791
4	13	2752
5	16	2698
6	18	2691
7	21	2688
8	23	2638
9	26	2625
10	29	2608
11	31	2585
12	33	2572
13	36	2557
14	38	2541
15	41	2539
16	43	2538
17	46	2527
18	48	2512
19	51	2502
20	53	2496
21	55	2487
22	58	2482
23	60	2472
24	63	2467
25	65	2455
26	67	2448
27	70	2441
28	73	2446
29	75	2436
30	77	2425
31	79	2415
32	82	2408
33	84	2401
34	86	2386
35	88	2373
36	90	2357
37	92	2345
38	94	2333
39	96	2318
40	98	2304
41	100	2290
42	102	2284
43	104	2272
44	106	2259
45	108	2248
46	110	2238
47	112	2227
48	114	2219
49	116	2208
50	118	2204
51	120	2195
52	122	2184
53	124	2172
54	125	2163
55	127	2152
56	129	2143
57	132	2144
58	134	2149
59	136	2142
60	138	2135
61	140	2127
62	142	2120
63	144	2112
64	146	2106
65	148	2108
66	150	2102
67	152	2095
68	154	2090
69	157	2086
70	159	2083
71	161	2079
72	163	2080
73	165	2076
74	168	2073
75	170	2072
76	172	2069
77	174	2067
78	177	2064
79	179	2063
80	182	2064
81	184	2061
82	186	2056
83	188	2055
84	190	2052
85	193	2052
86	195	2049
87	198	2054
88	200	2054
89	203	2052
90	205	2049
91	207	2045
92	209	2046
93	216	2084
94	218	2084
95	220	2080
96	223	2077
97	225	2073
98	227	2069
99	229	2069
100	232	2066
101	234	2065
102	237	2063
103	239	2061
104	241	2058
105	243	2055
106	246	2058
107	248	2054
108	251	2052
109	253	2049
110	255	2047
111	257	2042
112	259	2037
113	262	2038
114	264	2038
115	266	2033
116	269	2031
117	271	2026
118	273	2021
119	274	2016
120	277	2015
121	279	2014
122	282	2010
123	284	2007
124	286	2003
125	288	2000
126	290	1997
127	292	1995
128	295	1997
129	298	1996
130	300	1995
131	303	1993
132	304	1987
133	306	1982
134	308	1978
135	310	1975
136	313	1973
137	315	1970
138	317	1966
139	319	1962
140	321	1958
141	323	1953
142	325	1950
143	327	1945
144	329	1943
145	331	1939
146	333	1935
147	335	1930
148	337	1926
149	339	1922
150	341	1918
151	343	1914
152	345	1911
153	347	1907
154	349	1903
155	351	1899
156	353	1895
157	354	1891
158	356	1887
159	358	1883
160	360	1881
161	362	1877
162	364	1872
163	366	1869
164	368	1865
165	370	1861
166	372	1858
167	374	1855
168	376	1851
169	378	1847
170	380	1843
171	382	1839
172	384	1836
173	386	1832
174	388	1829
175	390	1826
176	392	1823
177	394	1821
178	396	1817
179	398	1814
180	400	1811
181	402	1808
182	404	1806
183	406	1803
184	408	1800
185	410	1796
186	412	1793
187	414	1790
188	416	1788
189	419	1786
190	422	1787
191	423	1784
192	425	1780
193	427	1777
194	429	1774
195	431	1770
196	433	1767
197	435	1764
198	438	1763
199	440	1760
200	442	1757
201	443	1751
202	445	1748
203	447	1745
204	449	1742
205	451	1741
206	454	1740
207	456	1737
208	458	1733
209	460	1731
210	462	1728
211	464	1726
212	466	1724
213	469	1724
214	471	1722
215	473	1719
216	475	1716
217	477	1713
218	479	1710
219	481	1708
220	483	1705
221	486	1704
222	488	1701
223	490	1698
224	492	1695
225	494	1693
226	496	1691
227	498	1688
228	500	1686
229	503	1684
230	505	1682
231	507	1679
232	509	1676
233	511	1674
234	513	1672
235	515	1669
236	518	1669
237	520	1667
238	522	1664
239	525	1662
240	527	1661
241	529	1659
242	532	1658
243	535	1657
244	537	1656
245	539	1654
246	541	1652
247	544	1649
248	546	1647
249	548	1645
250	550	1644
251	553	1642
252	555	1640
253	557	1638
254	559	1636
255	562	1633
256	564	1631
257	566	1629
258	568	1627
259	570	1624
260	572	1622
261	574	1619
262	576	1616
263	578	1613
264	580	1611
265	583	1609
266	585	1607
267	587	1605
268	589	1602
269	591	1599
270	593	1596
271	595	1593
272	597	1591
273	599	1589
274	602	1587
275	604	1584
276	606	1581
277	607	1578
278	609	1575
279	611	1573
280	614	1571
281	616	1569
282	618	1566
283	620	1564
284	622	1561
285	624	1558
286	626	1555
287	628	1553
288	630	1551
289	633	1550
290	635	1547
291	637	1544
292	639	1542
293	641	1539
294	643	1537
295	645	1534
296	647	1532
297	649	1530
298	651	1527
299	653	1525
300	655	1522
301	657	1519
302	659	1517
303	661	1514
304	663	1511
305	665	1509
306	667	1506
307	669	1503
308	671	1501
309	673	1498
310	675	1496
311	677	1494
312	680	1492
313	682	1490
314	684	1487
315	686	1485
316	688	1482
317	689	1479
318	692	1477
319	694	1474
320	695	1472
321	697	1469
322	699	1466
323	701	1463
324	703	1461
325	705	1458
326	707	1456
327	709	1454
328	712	1452
329	714	1449
330	716	1447
331	718	1444
332	719	1442
333	722	1440
334	724	1437
335	726	1435
336	728	1432
337	730	1430
338	732	1427
339	734	1424
340	735	1422
341	738	1420
342	740	1417
343	742	1415
344	743	1412
345	745	1409
346	747	1407
347	749	1404
348	751	1402
349	753	1399
350	755	1397
351	757	1394
352	759	1392
353	761	1389
354	763	1387
355	765	1384
356	767	1382
357	769	1380
358	771	1377
359	773	1375
360	775	1372
361	777	1370
362	779	1367
363	781	1364
364	783	1362
365	785	1360
366	787	1357
367	789	1355
368	791	1352
369	793	1350
370	794	1347
371	797	1345
372	799	1343
373	801	1341
374	803	1339
375	805	1337
376	807	1334
377	809	1332
378	811	1330
379	814	1328
380	816	1326
381	818	1324
382	820	1321
383	822	1319
384	824	1317
385	826	1314
386	828	1312
387	830	1310
388	832	1307
389	834	1305
390	836	1303
391	838	1300
392	840	1298
393	842	1295
394	844	1293
395	846	1291
396	848	1288
397	850	1286
398	852	1283
399	854	1281
400	856	1278
401	858	1276
402	860	1274
403	862	1271
404	864	1269
405	866	1267
406	867	1264
407	869	1262
408	871	1259
409	873	1257
410	875	1254
411	877	1252
412	879	1249
413	881	1247
414	883	1245
415	885	1242
416	887	1240
417	889	1238
418	891	1236
419	893	1233
420	895	1231
421	897	1229
422	899	1227
423	901	1224
424	903	1222
425	905	1220
426	907	1218
427	909	1215
428	911	1213
429	913	1211
430	915	1208
431	917	1206
432	920	1204
433	922	1202
434	924	1200
435	926	1198
436	928	1195
437	930	1193
438	932	1191
439	934	1188
440	935	1185
441	937	1183
442	939	1181
443	941	1179
444	950	1185
445	967	1201
446	970	1200
447	972	1198
448	974	1196
449	977	1194
450	979	1192
451	982	1190
452	984	1188
453	987	1187
454	989	1185
455	991	1183
456	994	1181
457	996	1179
458	998	1177
459	1000	1175
460	1002	1172
461	1005	1170
462	1007	1168
463	1009	1166
464	1011	1164
465	1013	1161
466	1015	1159
467	1017	1156
468	1019	1154
469	1021	1151
470	1023	1149
471	1025	1146
472	1027	1144
473	1029	1142
474	1031	1139
475	1032	1137
476	1034	1134
477	1036	1132
478	1038	1130
479	1041	1127
480	1042	1125
481	1044	1122
482	1046	1120
483	1048	1117
484	1050	1115
485	1052	1113
486	1054	1110
487	1056	1108
488	1058	1106
489	1060	1103
490	1062	1101
491	1064	1098
492	1066	1096
493	1068	1093
494	1069	1091
495	1072	1089
496	1073	1086
497	1075	1084
498	1077	1082
499	1079	1079
500	1081	1077
501	1083	1074
502	1085	1072
503	1087	1070
504	1089	1068
505	1091	1065
506	1093	1063
507	1095	1061
508	1097	1058
509	1099	1056
510	1101	1054
511	1103	1051
512	1105	1049
513	1107	1047
514	1109	1044
515	1111	1042
516	1113	1040
517	1115	1037
518	1117	1035
519	1119	1033
520	1121	1031
521	1123	1028
522	1125	1026
523	1127	1024
524	1129	1022
525	1131	1019
526	1134	1017
527	1135	1015
528	1137	1013
529	1139	1010
530	1141	1008
531	1143	1006
532	1145	1003
533	1147	1001
534	1149	999
535	1151	997
536	1153	994
537	1155	992
538	1157	989
539	1159	987
540	1161	985
541	1163	983
542	1165	980
543	1167	978
544	1169	976
545	1171	974
546	1173	971
547	1175	969
548	1177	967
549	1180	965
550	1182	963
551	1185	962
552	1187	959
553	1189	957
554	1191	955
555	1193	953
556	1195	951
557	1197	948
558	1200	946
559	1202	944
560	1204	942
561	1206	940
562	1208	938
563	1210	936
564	1212	933
565	1214	931
566	1216	929
567	1218	926
568	1220	924
569	1222	922
570	1224	920
571	1226	918
572	1228	915
573	1230	913
574	1232	911
575	1234	908
576	1236	906
577	1238	904
578	1240	902
579	1242	899
580	1244	897
581	1246	895
582	1248	892
583	1250	890
584	1252	888
585	1254	886
586	1256	884
587	1258	881
588	1260	879
589	1262	877
590	1264	875
591	1266	872
592	1268	870
593	1270	868
594	1272	866
595	1274	863
596	1276	861
597	1278	859
598	1280	857
599	1282	854
600	1284	852
601	1286	850
602	1288	848
603	1290	846
604	1292	843
605	1294	841
606	1296	839
607	1298	837
608	1300	835
609	1302	832
