size    s1      s2      s3      s4      s5      s6      s7      s8      s9      s10     s11     s12     s13     s14     s15
128m    8618    5115    3726    3191    2615    2218    1921    1735    1614    1535    1450    1378    1350    1297    1274
64m     10467   6361    4629    3571    2877    2457    2163    1938    1849    1771    1687    1661    1580    1524    1717
32m     14774   9267    6739    5094    4271    3532    3151    2815    2730    2567    2710    2684    2712    2657    2687
16m     21805   12486   8405    6316    5062    4171    3630    3175    3063    2966    2806    2822    2766    2731    2687
8m      21902   12638   8477    6360    5105    4267    3638    3180    3085    2967    2887    2816    2768    2722    2693
4m      22908   12745   8537    6378    5105    4254    3645    3190    3089    2979    2906    2827    2789    2793    2774
2m      23163   12869   8614    6663    5164    4415    3685    3225    3182    3251    3337    3465    3847    4234    4737
1024k   25036   20595   17823   15605   13527   11865   10327   9130    10536   12592   13619   14626   14895   15303   15081
512k    25651   24510   23823   23332   22787   21676   20026   18048   17743   17765   17518   17611   17407   17254   17262
256k    26075   24641   23953   24122   23684   22889   21288   19025   18806   18555   18723   18741   18425   18502   18404
128k    26093   24549   23900   23635   23206   21986   20804   18618   18277   18004   17563   18035   17287   17598   17532
64k     26114   24454   23786   23486   22946   22603   20423   18963   17916   17846   18206   17195   17851   17731   19859
32k     27545   26597   25906   24915   24163   23785   23981   21603   21981   22877   25851   24550   20455   21507   22941
16k     26841   26189   25471   23486   23534   25092   22328   20645   19612   23006   20453   18152   20192   17620   23136
