数据预处理时间为 2.8157150745391846s
重排函数为 30
最小哈希签名矩阵构建时间为 82.50317001342773s
每块行数为 2
映射入桶时间为 3.2586936950683594s
平均查询时间为 0.09568066596984863
平均准确率为 1.259988947900255
平均召回率为 0.6100000000000001
每块行数为 3
映射入桶时间为 3.178691864013672s
平均查询时间为 0.07049517631530762
平均准确率为 1.1696849825688125
平均召回率为 0.4900000000000001
每块行数为 4
映射入桶时间为 3.5423898696899414s
平均查询时间为 0.06676630973815918
平均准确率为 1.0135160537230365
平均召回率为 0.31
每块行数为 5
映射入桶时间为 3.2468605041503906s
平均查询时间为 0.06331858634948731
平均准确率为 0.9665187566240319
平均召回率为 0.29222222222222227
每块行数为 10
映射入桶时间为 1.1837246417999268s
平均查询时间为 0.07559890747070312
平均准确率为 0.44815404682409055
平均召回率为 0.30666666666666664
重排函数为 60
最小哈希签名矩阵构建时间为 549.8651895523071s
每块行数为 2
映射入桶时间为 17.40811276435852s
平均查询时间为 0.897933840751648
平均准确率为 1.2746488789796573
平均召回率为 0.68
每块行数为 3
映射入桶时间为 14.459125995635986s
平均查询时间为 0.5895209312438965
平均准确率为 1.2527950129636056
平均召回率为 0.64
每块行数为 4
映射入桶时间为 11.600934267044067s
平均查询时间为 0.4866016387939453
平均准确率为 1.154391095906673
平均召回率为 0.4
每块行数为 5
映射入桶时间为 11.64552116394043s
平均查询时间为 0.4092287540435791
平均准确率为 1.1478964544777954
平均召回率为 0.43000000000000005
每块行数为 10
映射入桶时间为 4.824892282485962s
平均查询时间为 0.23535923957824706
平均准确率为 0.8583636383146802
平均召回率为 0.2841666666666667
重排函数为 90
最小哈希签名矩阵构建时间为 699.7449498176575s
每块行数为 2
映射入桶时间为 6.983097314834595s
平均查询时间为 0.3444016456604004
平均准确率为 1.2837149610450407
平均召回率为 0.7000000000000001
每块行数为 3
映射入桶时间为 4.748456239700317s
平均查询时间为 0.23460118770599364
平均准确率为 1.2793746288121735
平均召回率为 0.68
每块行数为 4
映射入桶时间为 5.888687610626221s
平均查询时间为 0.1950770378112793
平均准确率为 1.2097311797753698
平均召回率为 0.45999999999999996
每块行数为 5
映射入桶时间为 3.5356266498565674s
平均查询时间为 0.1710878372192383
平均准确率为 1.2112020822453147
平均召回率为 0.4800000000000001
每块行数为 10
映射入桶时间为 3.225635051727295s
平均查询时间为 0.09715240001678467
平均准确率为 1.0260658258581288
平均召回率为 0.33
