Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,Finland,7.632000000000001,1.305,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.20199999999999999,0.39299999999999996
2,Norway,7.593999999999999,1.456,1.5819999999999999,0.861,0.6859999999999999,0.28600000000000003,0.34
3,Denmark,7.555,1.351,1.59,0.868,0.6829999999999999,0.284,0.408
4,Iceland,7.495,1.3430000000000002,1.6440000000000001,0.914,0.677,0.353,0.138
5,Switzerland,7.487,1.42,1.5490000000000002,0.927,0.66,0.256,0.35700000000000004
6,Netherlands,7.441,1.361,1.4880000000000002,0.878,0.638,0.33299999999999996,0.295
7,Canada,7.327999999999999,1.33,1.5319999999999998,0.8959999999999999,0.653,0.321,0.29100000000000004
8,New Zealand,7.324,1.268,1.601,0.8759999999999999,0.669,0.365,0.389
9,Sweden,7.314,1.355,1.501,0.9129999999999999,0.659,0.285,0.38299999999999995
10,Australia,7.272,1.34,1.5730000000000002,0.91,0.647,0.361,0.302
11,United Kingdom,7.19,1.244,1.433,0.888,0.46399999999999997,0.262,0.08199999999999999
12,Austria,7.138999999999999,1.341,1.504,0.8909999999999999,0.617,0.242,0.22399999999999998
13,Costa Rica,7.072,1.01,1.459,0.8170000000000001,0.632,0.14300000000000002,0.10099999999999999
14,Ireland,6.977,1.4480000000000002,1.5830000000000002,0.8759999999999999,0.614,0.307,0.306
15,Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28
16,Belgium,6.9270000000000005,1.324,1.483,0.894,0.583,0.188,0.24
17,Luxembourg,6.91,1.5759999999999998,1.52,0.8959999999999999,0.632,0.196,0.321
18,United States,6.886,1.3980000000000001,1.4709999999999999,0.8190000000000001,0.547,0.29100000000000004,0.133
19,Israel,6.814,1.301,1.5590000000000002,0.883,0.5329999999999999,0.354,0.272
20,United Arab Emirates,6.774,2.096,0.7759999999999999,0.67,0.284,0.18600000000000003,
21,Czech Republic,6.711,1.2329999999999999,1.489,0.8540000000000001,0.5429999999999999,0.064,0.034
22,Malta,6.627000000000001,1.27,1.525,0.884,0.645,0.376,0.142
