country_x,EXT,EST,AGR,CSN,OPN,ctr,country_y,pdi,idv,mas,uai,ltowvs,ivr
AND,29.705882352941178,28.41176470588235,38.294117647058826,33.470588235294116,38.705882352941174,AND,Andorra,,,,,,65.0
ALB,28.575688073394495,31.527522935779817,36.29128440366973,32.89449541284404,39.85091743119266,ALB,Albania,,,,,61.0,15.0
ARM,28.880733944954127,32.38532110091743,35.56880733944954,32.79816513761468,40.91743119266055,ARM,Armenia,,,,,61.0,
ARG,28.341788205453394,32.142675967026,36.06785034876347,31.419150285351932,39.66043119847812,ARG,Argentina,49.0,46.0,56.0,86.0,20.0,62.0
AUT,29.906997742663656,29.845146726862303,36.77291196388262,32.3706546275395,40.54221218961625,AUT,Austria,11.0,55.0,79.0,70.0,60.0,63.0
AUS,29.838576853887666,30.16602038776734,37.61195282830302,33.34699180491705,38.123166100339795,AUS,Australia,38.0,90.0,61.0,51.0,21.0,71.0
AZE,29.1,30.8,36.05,32.7125,38.9125,AZE,Azerbaijan,,,,,61.0,22.0
BIH,28.474545454545453,31.065454545454546,35.305454545454545,32.54,39.78363636363636,BIH,Bosnia,,,,,70.0,44.0
BGD,26.67398119122257,31.752351097178682,36.13479623824451,31.940438871473354,36.10971786833856,BGD,Bangladesh,80.0,20.0,55.0,60.0,47.0,20.0
BEL,29.956589958158997,30.418671548117153,37.52353556485355,31.902458158995817,38.97018828451883,BEL,Belgium,65.0,75.0,54.0,94.0,82.0,57.0
BFA,26.0,33.5,35.0,31.0,41.0,BFA,Burkina Faso,,,,,27.0,18.0
BGR,28.916601101494887,31.146341463414632,35.64752163650669,32.3375295043273,40.25570416994493,BGR,Bulgaria,70.0,30.0,40.0,85.0,69.0,16.0
BEN,32.0,23.5,41.0,31.0,41.5,BEN,Belgium Netherl,61.0,78.0,43.0,97.0,,
BRA,26.63634907926341,31.431865492393914,34.831224979983986,31.128742994395516,40.27237790232186,BRA,Brazil,69.0,38.0,49.0,76.0,44.0,59.0
BLR,28.126506024096386,31.162650602409638,33.9277108433735,31.46987951807229,39.66265060240964,BLR,Belarus,,,,,81.0,15.0
CAN,29.588093582758006,30.570858057527204,37.72458730133066,33.607010622645475,38.94801856133486,CAN,Canada,39.0,80.0,52.0,48.0,36.0,68.0
CHE,30.322983354673497,29.444622279129323,37.44878361075544,33.17989756722151,40.11203585147247,CHE,Switzerland,34.0,68.0,70.0,58.0,74.0,66.0
CHL,28.595075239398085,31.494300045599637,36.5750113999088,31.431828545371637,39.43228454172367,CHL,Chile,63.0,23.0,28.0,86.0,31.0,68.0
CHN,30.257462686567163,29.478358208955225,37.254477611940295,33.103731343283584,35.90298507462686,CHN,China,80.0,20.0,66.0,30.0,87.0,24.0
COL,28.96407847471677,31.48107211936999,35.340149212489635,31.46228239845261,38.21497651284886,COL,Colombia,67.0,13.0,64.0,80.0,13.0,83.0
CRI,28.673846153846153,30.787692307692307,35.60769230769231,32.27076923076923,39.15076923076923,CRI,Costa Rica,35.0,15.0,21.0,86.0,,
CYP,30.311897106109324,31.135048231511256,37.17041800643087,33.18649517684887,38.81350482315113,CYP,Cyprus,,,,,,70.0
CZE,28.538728897715988,31.14448857994042,35.385799404170804,31.564051638530287,39.4493545183714,CZE,Czech Rep,57.0,58.0,57.0,74.0,70.0,29.0
DEU,28.719545938275985,30.050514366796737,36.135509045760905,32.1839659453707,40.86406527137283,DEU,Germany,35.0,67.0,66.0,65.0,83.0,40.0
DNK,30.874818577648767,30.295174165457183,37.48439767779391,32.35939767779391,39.34560957910014,DNK,Denmark,18.0,74.0,16.0,23.0,35.0,70.0
DOM,28.62116991643454,30.930362116991642,36.09470752089136,32.6016713091922,39.12256267409471,DOM,Dominican Rep,,,,,13.0,54.0
DZA,26.251046025104603,33.23430962343096,34.70292887029289,31.615062761506277,39.58158995815899,DZA,Algeria,,,,,26.0,32.0
ECU,29.095986038394415,31.358638743455497,34.967713787085515,31.42931937172775,37.732111692844676,ECU,Ecuador,78.0,8.0,63.0,67.0,,
EST,28.437254901960785,30.234313725490196,35.759803921568626,32.194117647058825,38.748039215686276,EST,Estonia,40.0,60.0,30.0,60.0,82.0,16.0
EGY,28.65924491771539,32.88673765730881,36.78509196515005,32.762826718296225,37.42884801548887,EGY,Egypt,,,,,7.0,4.0
ESP,30.142771565495206,30.232228434504794,37.28833865814696,32.30051916932907,39.677116613418534,ESP,Spain,57.0,51.0,42.0,86.0,48.0,44.0
ETH,31.342960288808666,26.548736462093864,39.231046931407946,35.88086642599278,37.292418772563174,ETH,Ethiopia,,,,,,46.0
FIN,28.038479262672812,31.012672811059907,35.08271889400922,31.62442396313364,39.511751152073735,FIN,Finland,33.0,63.0,26.0,59.0,38.0,57.0
FRA,28.83433685923515,31.237754271765663,36.85028478437754,31.908868999186332,40.62750203417413,FRA,France,68.0,71.0,43.0,86.0,63.0,48.0
GBR,29.710658297795664,31.55874226680281,36.97728091777284,32.40551985104211,38.95076280857709,GBR,United Kingdom,35.0,89.0,66.0,35.0,51.0,69.0
GEO,28.944289693593316,31.935933147632312,34.62395543175487,32.27576601671309,39.5041782729805,GEO,Georgia,,,,,38.0,32.0
GHA,26.845588235294116,28.488970588235293,38.643382352941174,36.92279411764706,37.3639705882353,GHA,Ghana,,,,,4.0,72.0
GRC,28.998408276959807,32.857540787902906,36.479904496617586,32.57063270990847,39.602467170712295,GRC,Greece,60.0,35.0,57.0,112.0,45.0,50.0
GTM,29.416470588235295,31.59294117647059,35.27764705882353,32.48235294117647,39.4,GTM,Guatemala,95.0,6.0,37.0,101.0,,
HKG,29.378859527121,30.876216968011125,36.64116828929068,32.80472878998609,35.48038942976356,HKG,Hong Kong,68.0,25.0,57.0,29.0,61.0,17.0
HRV,29.136302895322938,30.439643652561248,35.68997772828508,32.415590200445436,39.75100222717149,HRV,Croatia,73.0,33.0,40.0,80.0,58.0,33.0
HUN,28.51460823373174,31.088977423638777,35.63877822045153,31.90305444887118,40.50597609561753,HUN,Hungary,46.0,80.0,88.0,82.0,58.0,31.0
IDN,28.102018801047926,31.4809677916474,35.699029126213595,32.78825705039297,36.816766836184314,IDN,Indonesia,78.0,14.0,46.0,48.0,62.0,38.0
IRL,30.02273987798114,31.10593455352191,37.51173969310408,32.58365686818266,39.29450915141431,IRL,Ireland,28.0,70.0,68.0,35.0,24.0,65.0
ISR,30.032122905027933,30.08310055865922,36.922486033519554,33.160614525139664,40.85963687150838,ISR,Israel,13.0,54.0,47.0,81.0,38.0,
IND,30.20170373334858,30.57012177691384,37.069692984963694,33.779658109885084,36.992510433937454,IND,India,77.0,48.0,56.0,40.0,51.0,26.0
IRQ,26.752688172043012,32.236559139784944,34.38709677419355,32.75268817204301,39.54838709677419,IRQ,Iraq,,,,,25.0,17.0
IRN,29.132867132867133,31.27972027972028,35.88578088578089,33.14918414918415,38.13053613053613,IRN,Iran,58.0,41.0,43.0,59.0,14.0,40.0
ISL,30.313725490196077,30.47222222222222,37.599673202614376,32.462418300653596,39.071895424836605,ISL,Iceland,,,,,28.0,67.0
ITA,29.118819326941153,31.91464561007708,36.663094566647864,32.70577176160933,39.900169204737736,ITA,Italy,50.0,76.0,70.0,75.0,61.0,30.0
JAM,27.142578125,29.580078125,37.50390625,35.025390625,37.884765625,JAM,Jamaica,45.0,39.0,68.0,13.0,,
JOR,28.670480549199084,32.578947368421055,35.82608695652174,32.53775743707094,38.974828375286044,JOR,Jordan,,,,,16.0,43.0
JPN,29.474392136575272,30.257113295395758,36.00517330574237,32.37454733574754,37.94981893429902,JPN,Japan,54.0,46.0,95.0,92.0,88.0,42.0
KGZ,28.22222222222222,30.944444444444443,34.55555555555556,32.833333333333336,37.5,KGZ,Kyrgyz Rep,,,,,66.0,39.0
KOR,29.27746390458255,30.5894538606403,35.49403640929064,32.080979284369114,38.011927181418706,KOR,Korea South,60.0,18.0,39.0,85.0,100.0,29.0
LTU,27.52679382379655,31.72661217075386,34.2661217075386,31.600363306085377,38.30790190735695,LTU,Lithuania,42.0,60.0,19.0,65.0,82.0,16.0
LUX,29.509090909090908,29.23181818181818,36.18181818181818,33.07272727272727,39.30909090909091,LUX,Luxembourg,40.0,60.0,50.0,70.0,64.0,56.0
LVA,28.3752417794971,31.195357833655706,34.36363636363637,31.64603481624758,39.04835589941973,LVA,Latvia,44.0,70.0,9.0,63.0,69.0,13.0
MAR,26.272545090180362,31.805611222444888,34.9939879759519,31.727454909819638,39.85170340681363,MAR,Morocco,70.0,46.0,53.0,68.0,14.0,25.0
MDA,27.46969696969697,31.90909090909091,34.71969696969697,32.50757575757576,39.84848484848485,MDA,Moldova,,,,,71.0,19.0
MLI,33.333333333333336,23.0,39.666666666666664,38.666666666666664,47.0,MLI,Mali,,,,,20.0,43.0
MNG,28.36111111111111,29.86111111111111,35.56944444444444,31.77777777777778,36.30555555555556,MNG,Montenegro,,,,,75.0,20.0
